"COD_MUN_IBGE","SIGLA_PARTIDO","DESCRICAO_SEXO","DESCRICAO_GRAU_INSTRUCAO"
"120001","PSB","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"120035","PMDB","MASCULINO","SUPERIOR COMPLETO"
"120033","PT","MASCULINO","ENSINO MÉDIO COMPLETO"
"120060","PSD","FEMININO","SUPERIOR COMPLETO"
"120045","PSD","MASCULINO","SUPERIOR COMPLETO"
"120034","PMDB","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"120080","PROS","MASCULINO","ENSINO MÉDIO COMPLETO"
"120032","PC do B","MASCULINO","ENSINO MÉDIO COMPLETO"
"120042","PMDB","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"120030","PP","MASCULINO","SUPERIOR COMPLETO"
"120017","PP","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"120043","PRP","MASCULINO","ENSINO MÉDIO COMPLETO"
"120025","PSB","MASCULINO","SUPERIOR COMPLETO"
"120005","PSDB","MASCULINO","SUPERIOR COMPLETO"
"120039","PMDB","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"270260","PSDB","MASCULINO","SUPERIOR COMPLETO"
"120040","PT","MASCULINO","SUPERIOR COMPLETO"
"120020","PMDB","MASCULINO","SUPERIOR INCOMPLETO"
"120010","PT","FEMININO","SUPERIOR COMPLETO"
"120038","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"120070","PT","MASCULINO","SUPERIOR COMPLETO"
"120013","PC do B","MASCULINO","ENSINO MÉDIO COMPLETO"
"120050","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"160010","PMN","MASCULINO","SUPERIOR COMPLETO"
"270870","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"270620","PSD","FEMININO","ENSINO MÉDIO COMPLETO"
"270480","PRB","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"160030","REDE","MASCULINO","SUPERIOR COMPLETO"
"270460","PMDB","FEMININO","SUPERIOR COMPLETO"
